"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-01","3.80","0.00","0.0","0.0",,"81","63","  220","  220","13.0","23.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-02","6.49","0.03","0.0","0.0",,"93","63","  240","  230","14.1","21.9","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-03","6.26","0.34","0.0","0.0",,"63","53","   50","   30","15.0","23.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-04","6.93","0.00","0.0","0.0",,"66","50","   40","   50","18.1","28.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-05","4.92","0.00","0.0","0.0",,"61","45","   30","   20","13.0","21.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-06","2.91","0.01","0.0","0.0",,"70","57","  160","  200","10.1","19.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-07","4.03","0.20","0.0","0.0",,"79","59","  260","  230","13.0","21.9","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-08","7.83","0.02","0.0","0.0",,"64","57","   50","   40","16.1","25.9","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-09","10.51","0.54","0.0","0.0",,"59","51","   40","   30","17.0","25.9","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-10","9.62","0.00","0.0","0.0",,"71","53","   60","   50","17.0","28.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-11","9.17","0.00","0.0","0.0",,"64","55","   50","   50","19.9","29.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-12","3.58","0.00","0.0","0.0",,"67","55","   40","   20","12.1","16.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-13","2.01","0.00","0.0","0.0",,"67","53","   50","  280","8.1","12.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-14","4.03","0.00","0.0","0.0",,"72","58","  240","  230","15.0","23.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-15","2.91","0.00","0.0","0.0",,"64","51","   50","   50","8.9","13.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-16","6.49","1.83","0.0","0.0",,"66","52","  280","  270","21.0","38.9","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-17","11.63","0.00","0.0","0.0",,"57","51","  270","  270","23.0","40.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-18","8.72","0.00","0.0","0.0",,"58","47","  300","  290","17.0","31.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-19","2.68","0.00","0.0","0.0",,"60","43","  240","  240","8.9","13.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-20","4.47","0.54","0.0","0.0",,"59","49","   40","   50","14.1","19.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-21","4.03","0.00","0.0","0.0",,"67","51","   40","   20","12.1","18.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-22","4.47","0.57","0.0","0.0",,"63","55","  140","  140","13.0","21.9","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-23","6.26","0.01","0.0","0.0",,"65","54","  280","  280","15.0","23.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-24","3.13","0.00","0.0","0.0",,"67","50","  250","  230","12.1","21.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-25","2.91","0.00","0.0","0.0",,"65","52","  240","  230","10.1","17.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-26","3.36","0.01","0.0","0.0",,"63","52","   40","   40","12.1","17.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-27","4.92","1.38","0.0","0.0",,"67","55","  140","  120","14.1","25.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-28","3.58","0.00","0.0","0.0",,"63","55","   40","   40","13.0","18.1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-29","4.03","0.07","0.0","0.0",,"59","54","   70","  120","8.9","14.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-30","3.13","0.06","0.0","0.0",,"63","58","   60","   40","10.1","15.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-10-31","5.14","0.54","0.0","0.0",,"71","60","  240","  140","15.0","28.0","    1",,,,
